District_Ids,District_Name,Region,Population,Villages,Small_Town,Medium_Town,Large_Town,No_Of_Cities,Ratio_Of_Urban_Populations,Avg_Salary,Unemployment_Rate_1995,Unemployment_Rate_1996,No_of_Enterprenuers_per_1000,No_of_Crimes_Commited_1995,No_of_Crimes_Commited_1996
17,Pelhrimov,south Bohemia,74062,99,15,4,2,7,61.4000015258789,8114,2.38,2.61999988555908,119,1003,1181
18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3000030517578,8968,2.83,3.34999990463257,131,1740,1910
19,Prachatice,south Bohemia,51428,50,11,3,1,4,52.7000007629395,8402,3.13,3.98000001907349,120,999,1099
20,Strakonice,south Bohemia,70646,94,14,3,1,4,58.4000015258789,8547,2.65,3.64000010490417,120,1563,1542
21,Tabor,south Bohemia,103347,87,16,7,1,7,67,9104,1.51,2.0699999332428,123,2299,2354
22,Domazlice,west Bohemia,58400,65,16,4,1,6,52.4000015258789,8620,1.10,1.25,100,1089,1117
23,Cheb,west Bohemia,87419,21,11,4,3,9,85.5,8624,1.79,2.66000008583069,102,2879,3198
24,Karlovy Vary,west Bohemia,122603,25,21,6,2,8,80,8991,1.39,2.00999999046326,128,5198,5273
25,Klatovy,west Bohemia,88757,60,33,3,2,10,61.7000007629395,8554,2.47,2.6800000667572,113,1822,2218
26,Plzen - mesto,west Bohemia,170449,0,0,0,1,1,100,10787,2.64,3.08999991416931,131,6041,6261
27,Plzen - jih,west Bohemia,67298,71,19,10,0,7,43.7999992370605,8561,0.65,1.28999996185303,110,1029,1127
28,Plzen - sever,west Bohemia,72541,66,26,10,0,8,36.9000015258789,8594,1.62,2.00999999046326,112,1580,1525
29,Rokycany,west Bohemia,45714,52,10,5,1,6,55.5999984741211,8843,2.82,3.59999990463257,113,818,888
30,Sokolov,west Bohemia,94812,15,13,8,2,10,81.8000030517578,9650,3.38,3.67000007629395,100,2985,2804
31,Tachov,west Bohemia,51313,34,12,3,1,4,59.2000007629395,8930,3.52,4.19999980926514,108,1328,1452
32,Ceska Lipa,north Bohemia,105058,32,19,7,2,10,81,9272,2.80,3.22000002861023,118,4340,4505
33,Decin,north Bohemia,133777,24,17,7,3,11,84.6999969482422,8705,5.75,7.6100001335144,116,4650,4859
34,Chomutov,north Bohemia,125236,28,11,1,4,5,87.6999969482422,9675,6.43,7.67999982833862,100,5323,5190
35,Jablonec n. Nisou,north Bohemia,88768,10,18,5,1,7,80.5,8867,1.02,1.21000003814697,130,3384,3620
36,Liberec,north Bohemia,159617,29,19,8,1,9,85.1999969482422,9198,3.33,4.28000020980835,131,5796,6132
37,Litomerice,north Bohemia,114006,71,26,6,2,9,62.2999992370605,9065,4.46,5.3899998664856,123,4147,4166
38,Louny,north Bohemia,85852,41,23,4,2,4,59.7999992370605,8965,7.08,8.22999954223633,104,2653,2822
39,Most,north Bohemia,119895,17,4,3,2,4,89.9000015258789,10446,7.34,9.39999961853027,90,4947,4743
40,Teplice,north Bohemia,128118,9,16,6,3,8,85.3000030517578,9317,6.49,7.07000017166138,97,6949,6872
41,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.5999984741211,9832,3.32,4.48000001907349,114,6445,5471
42,Havlickuv Brod,east Bohemia,95907,87,25,5,2,7,59.0999984741211,8388,2.41,2.94000005722046,87,1658,1668
43,Hradec Kralove,east Bohemia,161854,73,21,6,1,6,76.3000030517578,9425,1.72,2.5,125,4085,3891
44,Chrudim,east Bohemia,105606,77,26,7,2,7,53,8254,2.79,3.75999999046326,97,2166,2325
45,Jicin,east Bohemia,77917,85,19,6,1,5,53.5,8390,2.28,2.89000010490417,132,2080,2122
46,Nachod,east Bohemia,112709,48,20,7,3,10,73.5,8369,1.79,2.30999994277954,117,2854,2618
47,Pardubice,east Bohemia,162580,83,26,5,1,6,72.8000030517578,9538,1.51,1.80999994277954,111,6079,5410
48,Rychnov nad Kneznou,east Bohemia,78955,50,24,8,1,9,59,9060,1.78,2.44000005722046,124,1655,1717
49,Semily,east Bohemia,75685,31,28,5,1,9,60.7999992370605,8208,1.89,2.25999999046326,155,1660,2123
50,Svitavy,east Bohemia,102609,75,33,2,3,6,52,8187,4.83,5.44999980926514,94,2123,2134
51,Trutnov,east Bohemia,121947,37,28,7,3,11,70.5,8541,2.51,2.97000002861023,131,3496,3839
52,Usti nad Orlici,east Bohemia,139012,59,41,8,3,10,61.9000015258789,8363,2.52,3.49000000953674,108,2564,2799
53,Blansko,south Moravia,107911,88,33,6,2,7,50.9000015258789,8240,2.53,3.55999994277954,99,1850,1903
54,Brno - mesto,south Moravia,387570,0,0,0,1,1,100,9897,1.60,1.96000003814697,140,18721,18696
55,Brno - venkov,south Moravia,157042,49,70,18,0,9,33.9000015258789,8743,1.88,2.4300000667572,111,3659,3894
56,Breclav,south Moravia,124605,11,42,14,1,8,46,8772,4.69,4.98000001907349,126,2854,3158
57,Hodonin,south Moravia,161954,21,37,20,3,8,48,8720,3.73,4.5,116,3729,3651
58,Jihlava,south Moravia,109164,98,16,6,1,4,63.5999984741211,8757,3.38,3.95000004768372,96,2212,2471
59,Kromeriz,south Moravia,108871,41,29,7,2,6,62.0999984741211,8444,3.24,3.47000002861023,106,2595,2305
60,Prostejov,south Moravia,110643,49,41,4,1,4,51.9000015258789,8441,3.45,4.48000001907349,115,1879,2252
61,Trebic,south Moravia,117897,139,28,5,1,6,53.7999992370605,8814,4.76,5.73999977111816,107,2112,2059
62,Uherske Hradiste,south Moravia,145688,22,41,13,2,5,40.7000007629395,8544,1.29,1.86000001430511,109,2719,2906
63,Vyskov,south Moravia,86513,38,36,5,1,5,50.5,8288,3.79,4.51999998092651,110,1562,1460
64,Zlin,south Moravia,197099,29,41,10,2,10,74.6999969482422,9624,1.60,2.30999994277954,145,4484,4265
65,Znojmo,south Moravia,114200,101,41,4,1,4,43.7000007629395,8403,5.74,5.71999979019165,105,2157,2718
66,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.2999992370605,8512,3.51,4.11999988555908,102,2247,2103
67,Bruntal,north Moravia,106054,38,25,6,2,6,63.0999984741211,8110,5.77,6.55000019073486,109,3244,3079
68,Frydek - Mistek,north Moravia,228848,15,40,18,2,6,57.2000007629395,9893,4.09,4.71999979019165,96,5623,5887
69,Jesenik,north Moravia,42821,4,13,5,1,3,48.4000015258789,8173,?,7.01000022888184,124,?,1358
70,Karvina,north Moravia,285387,0,2,8,5,7,89.9000015258789,10177,6.63,7.75,81,9878,10108
71,Novy Jicin,north Moravia,161227,5,35,11,4,10,69.6999969482422,8678,5.93,5.57000017166138,102,4980,4595
72,Olomouc,north Moravia,226122,32,50,7,4,4,62.5999984741211,8994,3.80,4.78999996185303,110,9672,9208
73,Opava,north Moravia,182027,17,49,12,2,7,56.4000015258789,8746,3.33,3.74000000953674,90,4355,4433
74,Ostrava - mesto,north Moravia,323870,0,0,0,1,1,100,10673,4.75,5.44000005722046,100,18782,18347
75,Prerov,north Moravia,138032,67,30,4,2,5,64.5999984741211,8819,5.38,5.65999984741211,99,4063,4505
76,Sumperk,north Moravia,127369,31,32,13,2,7,51.2000007629395,8369,4.73,5.88000011444092,107,3736,2807
77,Vsetin,north Moravia,148545,8,35,12,3,4,53.5,8909,4.01,5.55999994277954,113,3460,3590
